frame,marker_id,distance_m,distance_cm,yaw_deg,pitch_deg,roll_deg,roll_deg_original,roll_deg_cleaned,roll_deg_transformed,is_outlier,motion_phase,difference,rmse
202,2,0.4836,48.36,-168.42,-48.07,172.06,172.06,172.06,155.0,False,endpoint1,-17.060000000000002,192.1563593708693
205,2,0.4776,47.76,-167.15,3.31,-173.92,-173.92,-173.92,90.0,False,movement,263.91999999999996,192.1563593708693
269,2,0.5428,54.28,-176.52,6.22,-178.46,-178.46,-178.46,90.0,False,movement,268.46000000000004,192.1563593708693
270,2,0.5466,54.66,-176.87,4.61,-178.1,-178.1,-178.1,90.0,False,movement,268.1,192.1563593708693
281,2,0.5634,56.34,-177.18,-48.45,177.19,177.19,177.19,155.0,False,movement,-22.189999999999998,192.1563593708693
344,2,0.5316,53.16,-172.36,0.51,-177.48,-177.48,-177.48,90.0,False,movement,267.48,192.1563593708693
346,2,0.5304,53.04,-173.84,3.26,-179.28,-179.28,-179.28,90.0,False,movement,269.28,192.1563593708693
347,2,0.53,53.0,-173.9,2.29,-178.45,-178.45,-178.45,90.0,False,movement,268.45,192.1563593708693
349,2,0.53,53.0,-173.83,1.16,-179.21,-179.21,-179.21,90.0,False,movement,269.21000000000004,192.1563593708693
350,2,0.5255,52.55,-173.51,3.17,-177.49,-177.49,-177.49,90.0,False,movement,267.49,192.1563593708693
352,2,0.525,52.5,-173.42,3.23,-177.05,-177.05,-177.05,90.0,False,movement,267.05,192.1563593708693
353,2,0.5282,52.82,-172.94,2.18,-175.87,-175.87,-175.87,90.0,False,movement,265.87,192.1563593708693
354,2,0.5209,52.09,-173.08,7.07,-177.62,-177.62,-177.62,90.0,False,movement,267.62,192.1563593708693
355,2,0.5282,52.82,-172.98,3.47,-177.29,-177.29,-177.29,90.0,False,movement,267.28999999999996,192.1563593708693
356,2,0.5304,53.04,-173.8,3.93,-178.09,-178.09,-178.09,90.0,False,movement,268.09000000000003,192.1563593708693
359,2,0.5298,52.98,-169.15,-44.69,168.73,168.73,168.73,155.0,False,movement,-13.72999999999999,192.1563593708693
576,2,0.2605,26.05,-170.61,9.67,-166.18,-166.18,-166.18,90.0,False,movement,256.18,192.1563593708693
578,2,0.262,26.2,-169.06,10.8,-166.81,-166.81,-166.81,90.0,False,movement,256.81,192.1563593708693
602,2,0.2432,24.32,-171.38,-0.98,-164.64,-164.64,-164.64,90.0,False,movement,254.64,192.1563593708693
603,2,0.243,24.3,-171.24,-0.72,-164.42,-164.42,-164.42,90.0,False,movement,254.42,192.1563593708693
604,2,0.243,24.3,-172.07,-0.64,-165.43,-165.43,-165.43,90.0,False,movement,255.43,192.1563593708693
