frame,marker_id,distance_m,distance_cm,yaw_deg,pitch_deg,roll_deg
51,2,0.4924,49.24,-165.17,3.45,-174.44
55,2,0.4909,49.09,-166.00,3.07,-172.62
56,2,0.4934,49.34,-166.31,0.81,-171.71
57,2,0.4905,49.05,-167.46,4.11,-172.50
58,2,0.4888,48.88,-167.85,4.96,-173.42
59,2,0.4901,49.01,-167.47,4.57,-172.61
60,2,0.4943,49.43,-167.63,3.02,-172.49
62,2,0.4928,49.28,-167.37,3.68,-174.67
63,2,0.4950,49.50,-167.46,-0.13,-173.51
64,2,0.4912,49.12,-167.33,2.57,-172.78
65,2,0.4896,48.96,-167.82,4.80,-173.41
66,2,0.4921,49.21,-167.41,2.42,-173.38
67,2,0.4908,49.08,-167.34,3.09,-172.92
68,2,0.4886,48.86,-167.88,2.74,-173.16
69,2,0.4900,49.00,-168.59,1.32,-173.39
70,2,0.4937,49.37,-168.12,0.89,-173.64
71,2,0.4939,49.39,-167.99,-0.72,-173.90
72,2,0.4991,49.91,-167.58,1.75,-175.32
73,2,0.4986,49.86,-166.71,1.00,-175.21
74,2,0.5008,50.08,-162.75,-30.70,162.81
75,2,0.4975,49.75,-165.42,2.23,-172.91
76,2,0.4966,49.66,-161.22,-33.48,159.51
78,2,0.4976,49.76,-160.50,-37.87,161.12
114,2,0.4799,47.99,-171.43,-35.79,177.84
115,2,0.4805,48.05,-171.93,-31.58,174.55
116,2,0.4713,47.13,-173.10,-0.01,-177.19
117,2,0.4706,47.06,-173.17,-0.90,-176.19
118,2,0.4674,46.74,-172.44,0.57,-174.18
119,2,0.4664,46.64,-172.91,3.46,-176.08
120,2,0.4673,46.73,-171.66,3.69,-173.92
121,2,0.4654,46.54,-171.30,8.86,-174.99
160,2,0.4801,48.01,-164.10,2.47,-173.46
161,2,0.4832,48.32,-164.05,2.65,-176.56
162,2,0.4845,48.45,-163.11,0.72,-172.99
163,2,0.4850,48.50,-162.28,0.79,-174.25
164,2,0.4853,48.53,-162.28,0.78,-174.27
165,2,0.4849,48.49,-162.27,1.96,-173.42
166,2,0.4866,48.66,-162.26,2.53,-174.67
167,2,0.4891,48.91,-161.80,2.67,-174.92
202,2,0.4836,48.36,-168.42,-48.07,172.06
205,2,0.4776,47.76,-167.15,3.31,-173.92
269,2,0.5428,54.28,-176.52,6.22,-178.46
270,2,0.5466,54.66,-176.87,4.61,-178.10
281,2,0.5634,56.34,-177.18,-48.45,177.19
344,2,0.5316,53.16,-172.36,0.51,-177.48
346,2,0.5304,53.04,-173.84,3.26,-179.28
347,2,0.5300,53.00,-173.90,2.29,-178.45
349,2,0.5300,53.00,-173.83,1.16,-179.21
350,2,0.5255,52.55,-173.51,3.17,-177.49
352,2,0.5250,52.50,-173.42,3.23,-177.05
353,2,0.5282,52.82,-172.94,2.18,-175.87
354,2,0.5209,52.09,-173.08,7.07,-177.62
355,2,0.5282,52.82,-172.98,3.47,-177.29
356,2,0.5304,53.04,-173.80,3.93,-178.09
359,2,0.5298,52.98,-169.15,-44.69,168.73
576,2,0.2605,26.05,-170.61,9.67,-166.18
578,2,0.2620,26.20,-169.06,10.80,-166.81
602,2,0.2432,24.32,-171.38,-0.98,-164.64
603,2,0.2430,24.30,-171.24,-0.72,-164.42
604,2,0.2430,24.30,-172.07,-0.64,-165.43
606,2,0.2423,24.23,-172.99,-0.79,-164.89
607,2,0.2421,24.21,-173.75,-0.97,-164.71
608,2,0.2415,24.15,-174.04,-0.56,-164.69
609,2,0.2404,24.04,-174.44,-1.43,-163.20
610,2,0.2397,23.97,-174.90,-0.63,-163.79
611,2,0.2401,24.01,-175.17,-0.76,-165.50
612,2,0.2391,23.91,-176.34,-1.26,-164.55
613,2,0.2403,24.03,-175.43,-0.06,-166.18
614,2,0.2404,24.04,-176.99,-0.74,-165.05
615,2,0.2383,23.83,-176.79,-0.83,-164.18
616,2,0.2392,23.92,-177.17,-1.25,-164.46
617,2,0.2398,23.98,-177.67,-1.90,-164.58
618,2,0.2391,23.91,-177.98,-0.86,-164.47
619,2,0.2389,23.89,-177.69,-0.75,-165.44
620,2,0.2389,23.89,-177.90,-1.48,-164.28
621,2,0.2393,23.93,-177.95,-1.53,-164.63
622,2,0.2387,23.87,-177.60,-0.91,-164.17
623,2,0.2402,24.02,-177.71,-0.86,-164.27
624,2,0.2393,23.93,-177.06,-1.70,-164.29
625,2,0.2384,23.84,-176.62,-0.75,-164.22
626,2,0.2386,23.86,-176.42,-0.49,-164.57
627,2,0.2396,23.96,-174.76,0.89,-167.32
628,2,0.2386,23.86,-174.60,0.05,-165.37
629,2,0.2394,23.94,-174.14,-1.47,-164.96
630,2,0.2398,23.98,-174.05,-0.22,-165.84
631,2,0.2382,23.82,-174.26,-0.36,-165.02
632,2,0.2636,26.36,-174.00,-2.74,-166.38
633,2,0.2395,23.95,-173.98,0.34,-166.41
634,2,0.2399,23.99,-173.97,-0.87,-165.76
635,2,0.2407,24.07,-173.78,-0.50,-166.77
636,2,0.2408,24.08,-173.72,0.77,-168.32
637,2,0.2647,26.47,-173.93,-2.03,-167.41
638,2,0.2676,26.76,-173.97,-0.41,-169.35
639,2,0.2420,24.20,-174.00,-0.11,-166.68
